round,sim_time,util_cpu,util_ram,util_stg,util_net,token_mean,token_std,token_min,token_max,token_jain,token_total,hungry_nodes,max_hunger,tok_node_0000,tok_node_0001,tok_node_0002,tok_node_0003,tok_node_0004,tok_node_0005,tok_node_0006,tok_node_0007,tok_node_0008,tok_node_0009,tok_node_0010,tok_node_0011,tok_node_0012,tok_node_0013,tok_node_0014,tok_node_0015,tok_node_0016,tok_node_0017,tok_node_0018,tok_node_0019
217,1085,22.22222222222222,13.88888888888889,0.0,0.0,949.5684847237196,80.63007446042822,635.157715499619,996.2053104457378,0.9928415093322992,18991.369694474393,16,161,990.3105562088609,994.1247173172101,953.1210322418613,991.3570525439104,635.157715499619,875.7256432138837,983.1856281777698,987.9759924996835,907.9610036933688,894.5433492182394,969.796169200446,972.3897113798325,992.5253369852651,994.5481786445664,987.377451228177,921.9119239879675,957.8548681919667,993.2173734391971,992.0806803568306,996.2053104457378
218,1090,26.666666666666668,13.88888888888889,0.0,0.0,949.3655342612494,80.74062660539997,635.157715499619,996.2053104457378,0.9928189595823418,18987.310685224988,14,165,990.3105562088609,994.1247173172101,953.1210322418613,991.3570525439104,635.157715499619,875.335796263508,983.1856281777698,987.9759924996835,905.1398911361151,894.3645132981516,969.796169200446,972.3897113798325,992.5253369852651,994.5481786445664,987.377451228177,921.2427101662773,957.8548681919667,993.2173734391971,992.0806803568306,996.2053104457378
219,1095,26.666666666666668,17.36111111111111,0.0,0.0,949.1367054785591,80.94502568410728,634.6871709187695,996.2053104457378,0.9927793626552106,18982.73410957118,13,169,990.3105562088609,994.1247173172101,953.1210322418613,991.3570525439104,634.6871709187695,875.335796263508,983.1856281777698,987.9759924996835,901.9295523012867,893.6078200999223,969.796169200446,972.3897113798325,992.3863379453682,994.5481786445664,987.377451228177,921.2427101662773,957.8548681919667,993.2173734391971,992.0806803568306,996.2053104457378
220,1100,31.11111111111111,13.88888888888889,0.0,0.0,948.9603365176827,81.0389697986505,634.4193020170053,996.2053104457378,0.9927600429357503,18979.206730353653,13,173,990.3105562088609,994.1247173172101,953.1210322418613,991.3570525439104,634.4193020170053,875.335796263508,983.1856281777698,987.9759924996835,901.9295523012867,893.4569734378883,969.1748167710256,972.3897113798325,992.3863379453682,994.5481786445664,987.377451228177,918.7553989419686,957.8548681919667,993.2173734391971,992.0806803568306,996.2053104457378
221,1105,31.11111111111111,10.416666666666666,0.0,0.0,948.7705440583774,81.72257093597003,630.9842223916381,996.2053104457378,0.9926353621040627,18975.410881167547,14,177,990.3105562088609,994.1247173172101,953.1210322418613,991.3570525439104,630.9842223916381,874.9750267027669,983.1856281777698,987.9759924996835,901.9295523012867,893.4569734378883,969.1748167710256,972.3897113798325,992.3863379453682,994.5481786445664,987.377451228177,918.7553989419686,957.8548681919667,993.2173734391971,992.0806803568306,996.2053104457378
222,1110,22.22222222222222,13.88888888888889,0.0,0.0,948.5120698560379,81.78783581743448,630.1876383135235,996.2053104457378,0.9926196901470494,18970.241397120757,14,181,990.3105562088609,994.1247173172101,953.1210322418613,987.4370102058166,630.1876383135235,874.9750267027669,983.1856281777698,987.9759924996835,901.6213615358856,893.4569734378883,969.1748167710256,972.3897113798325,992.3863379453682,994.5481786445664,987.377451228177,918.7553989419686,957.7102013267886,993.2173734391971,992.0806803568306,996.2053104457378
223,1115,26.666666666666668,13.88888888888889,0.0,0.0,948.263619299078,82.09032845812706,629.2569070969445,996.2053104457378,0.9925615362601156,18965.27238598156,14,185,990.3105562088609,994.1247173172101,953.1210322418613,987.4370102058166,629.2569070969445,874.9750267027669,983.1856281777698,987.9759924996835,898.0446228453039,892.9954322058503,969.1748167710256,972.3897113798325,992.3863379453682,994.5481786445664,987.377451228177,918.7553989419686,957.7102013267886,993.2173734391971,992.0806803568306,996.2053104457378
224,1120,26.666666666666668,13.88888888888889,0.0,0.0,948.044794486201,82.0506239994801,629.1183118319393,996.2053104457378,0.9925652711148539,18960.89588972402,14,189,990.3105562088609,994.1247173172101,953.1210322418613,987.4370102058166,629.1183118319393,874.6723010161481,983.1856281777698,987.9759924996835,898.0446228453039,892.9954322058503,969.1748167710256,972.3897113798325,992.3863379453682,994.5481786445664,984.0136818430188,918.7553989419686,957.138795406028,993.2173734391971,992.0806803568306,996.2053104457378
225,1125,31.11111111111111,17.36111111111111,0.0,0.0,947.8156457648738,82.82940177708589,625.1742054718706,996.2053104457378,0.9924209074958761,18956.312915297476,14,193,990.3105562088609,994.1247173172101,953.1210322418613,987.4370102058166,625.1742054718706,874.6723010161481,983.1856281777698,987.9759924996835,898.0446228453039,892.9954322058503,969.1748167710256,972.3897113798325,992.3863379453682,994.5481786445664,984.0136818430188,918.116530875496,957.138795406028,993.2173734391971,992.0806803568306,996.2053104457378
226,1130,26.666666666666668,13.88888888888889,0.0,0.0,947.6028940951686,83.04346320959385,624.6108943851195,996.2053104457378,0.9923785863652158,18952.057881903373,15,197,990.3105562088609,994.1247173172101,952.831371818309,987.4370102058166,624.6108943851195,874.6723010161481,983.1856281777698,987.9759924996835,894.6425609615031,892.9954322058503,969.1748167710256,972.3897113798325,992.3863379453682,994.5481786445664,984.0136818430188,918.116530875496,957.138795406028,993.2173734391971,992.0806803568306,996.2053104457378
